Waste_Type,Quantity_kg,Location,CBG_Yield,Revenue,Slurry
Vegetable Waste,441,Madurai,24.78,1610.7,166.38
Food Waste,238,Salem,17.91,1164.15,86.99
Vegetable Waste,1208,Salem,80.18,5211.7,443.11
Vegetable Waste,497,Coimbatore,34.8,2262.0,202.14
Vegetable Waste,7077,Chennai,566.09,36795.85,2068.93
Poultry Waste,9042,Coimbatore,635.52,41308.8,3553.61
Food Waste,4713,Coimbatore,223.84,14549.6,2015.96
Food Waste,1495,Chennai,106.53,6924.45,486.47
Food Waste,2145,Coimbatore,106.42,6917.3,739.42
Vegetable Waste,1438,Madurai,88.74,5768.1,646.95
Food Waste,3654,Chennai,253.76,16494.4,1012.9
Poultry Waste,625,Chennai,33.59,2183.35,260.75
Agricultural Residue,9975,Coimbatore,600.68,39044.2,3345.52
Poultry Waste,6079,Trichy,458.52,29803.8,2408.97
Poultry Waste,8879,Madurai,437.23,28419.95,2985.05
Poultry Waste,120,Chennai,6.17,401.05,40.97
Poultry Waste,2506,Coimbatore,174.19,11322.35,838.94
Food Waste,6638,Coimbatore,454.34,29532.1,1866.63
Poultry Waste,7641,Chennai,525.5,34157.5,2740.55
Vegetable Waste,9572,Salem,505.36,32848.4,4247.45
Vegetable Waste,5227,Chennai,373.8,24297.0,1592.37
Poultry Waste,4490,Salem,309.24,20100.6,1925.84
Cow Dung,1068,Salem,84.31,5480.15,381.55
Poultry Waste,5693,Salem,348.9,22678.5,2275.52
Food Waste,9649,Chennai,672.46,43709.9,2739.62
Agricultural Residue,3493,Coimbatore,231.47,15045.55,958.45
Cow Dung,3537,Chennai,264.96,17222.4,1352.09
Food Waste,5313,Chennai,358.75,23318.75,2285.0
Agricultural Residue,2341,Salem,118.93,7730.45,996.44
Vegetable Waste,1009,Chennai,52.85,3435.25,306.7
Agricultural Residue,503,Chennai,34.3,2229.5,138.03
Vegetable Waste,2992,Salem,225.73,14672.45,1024.92
Fruit Waste,6880,Trichy,546.56,35526.4,2267.8
Fruit Waste,1281,Madurai,95.89,6232.85,343.57
Agricultural Residue,6812,Trichy,486.23,31604.95,1800.07
Food Waste,6422,Coimbatore,416.81,27092.65,1679.42
Agricultural Residue,8937,Trichy,698.09,45375.85,3158.89
Food Waste,1723,Coimbatore,98.77,6420.05,443.29
Agricultural Residue,8094,Chennai,393.16,25555.4,2916.51
Fruit Waste,2745,Trichy,162.18,10541.7,830.73
Vegetable Waste,8489,Trichy,605.95,39386.75,2169.6
Vegetable Waste,6701,Salem,329.83,21438.95,2659.05
Poultry Waste,2454,Madurai,137.73,8952.45,807.86
Poultry Waste,4880,Trichy,211.39,13740.35,1246.42
Poultry Waste,3813,Salem,281.01,18265.65,1555.69
Cow Dung,8597,Madurai,593.65,38587.25,2316.78
Vegetable Waste,1160,Coimbatore,56.16,3650.4,490.48
Food Waste,6069,Salem,287.71,18701.15,1849.07
Vegetable Waste,6717,Coimbatore,374.83,24363.95,2259.57
Vegetable Waste,6023,Chennai,410.63,26690.95,2454.41
Vegetable Waste,7646,Coimbatore,600.76,39049.4,2209.71
Agricultural Residue,9922,Coimbatore,653.55,42480.75,4179.99
Poultry Waste,3815,Madurai,216.58,14077.7,1437.96
Fruit Waste,7148,Salem,440.99,28664.35,2201.35
Vegetable Waste,6760,Madurai,404.48,26291.2,2875.26
Vegetable Waste,2278,Trichy,139.57,9072.05,917.05
Vegetable Waste,793,Trichy,40.55,2635.75,220.86
Fruit Waste,1858,Chennai,131.86,8570.9,698.29
Fruit Waste,7300,Coimbatore,495.21,32188.65,2529.67
Fruit Waste,2969,Coimbatore,210.1,13656.5,1092.56
Cow Dung,9603,Salem,450.04,29252.6,3472.1
Vegetable Waste,7007,Coimbatore,334.2,21723.0,2179.4
Agricultural Residue,1313,Trichy,77.52,5038.8,410.39
Agricultural Residue,4365,Salem,343.85,22350.25,1615.47
Fruit Waste,7468,Coimbatore,463.1,30101.5,2348.89
Food Waste,9638,Coimbatore,750.31,48770.15,3120.62
Agricultural Residue,7292,Trichy,479.26,31151.9,2513.24
Vegetable Waste,7124,Trichy,446.3,29009.5,3003.63
Fruit Waste,9684,Salem,408.27,26537.55,2453.28
Agricultural Residue,7756,Madurai,435.11,28282.15,2885.61
Fruit Waste,6093,Chennai,464.74,30208.1,2339.11
Fruit Waste,5965,Salem,436.17,28351.05,2079.96
Fruit Waste,5669,Trichy,449.09,29190.85,1993.51
Agricultural Residue,4801,Madurai,194.78,12660.7,1354.0
Agricultural Residue,5121,Salem,404.06,26263.9,2219.46
Fruit Waste,5880,Coimbatore,322.54,20965.1,2075.31
Agricultural Residue,3637,Salem,271.85,17670.25,1322.95
Agricultural Residue,9598,Chennai,633.47,41175.55,3251.0
Vegetable Waste,1866,Salem,76.44,4968.6,735.79
Food Waste,4730,Salem,227.25,14771.25,1290.9
Cow Dung,6227,Trichy,415.66,27017.9,2272.81
Vegetable Waste,4505,Coimbatore,331.98,21578.7,1797.19
Cow Dung,704,Salem,42.58,2767.7,260.64
Agricultural Residue,2549,Coimbatore,125.99,8189.35,993.91
Agricultural Residue,3199,Coimbatore,239.11,15542.15,1321.42
Agricultural Residue,3763,Chennai,225.03,14626.95,1158.68
Agricultural Residue,2878,Trichy,147.78,9605.7,869.27
Fruit Waste,1778,Chennai,133.36,8668.4,772.87
Vegetable Waste,3586,Salem,213.1,13851.5,971.63
Poultry Waste,3968,Madurai,276.95,18001.75,1538.14
Vegetable Waste,5238,Madurai,400.85,26055.25,2291.94
Cow Dung,5915,Coimbatore,466.88,30347.2,2535.37
Poultry Waste,4598,Chennai,278.99,18134.35,1571.41
Cow Dung,9399,Chennai,653.61,42484.65,4165.35
Agricultural Residue,2840,Trichy,124.81,8112.65,1205.72
Cow Dung,3920,Madurai,199.73,12982.45,1432.47
Cow Dung,7831,Salem,327.8,21307.0,2764.35
Cow Dung,6246,Coimbatore,268.42,17447.3,2433.92
Agricultural Residue,5673,Coimbatore,364.57,23697.05,2119.43
Cow Dung,8456,Chennai,603.08,39200.2,2274.36
Cow Dung,7740,Madurai,440.56,28636.4,2713.7
Cow Dung,5351,Salem,330.96,21512.4,2344.28
Vegetable Waste,7914,Salem,378.89,24627.85,2626.28
Food Waste,7080,Chennai,489.33,31806.45,2352.04
Agricultural Residue,1355,Trichy,103.62,6735.3,549.17
Vegetable Waste,6686,Trichy,435.16,28285.4,2120.97
Fruit Waste,8079,Salem,365.71,23771.15,3352.75
Food Waste,3311,Madurai,196.66,12782.9,975.97
Food Waste,9460,Chennai,556.75,36188.75,2713.01
Food Waste,7708,Trichy,388.93,25280.45,2967.78
Poultry Waste,7909,Salem,595.72,38721.8,2209.94
Agricultural Residue,3812,Salem,171.95,11176.75,1182.94
Agricultural Residue,6824,Trichy,309.72,20131.8,2091.41
Cow Dung,8031,Chennai,580.69,37744.85,2479.09
Vegetable Waste,1970,Chennai,137.61,8944.65,791.77
Food Waste,1863,Madurai,130.58,8487.7,721.42
Agricultural Residue,475,Madurai,26.29,1708.85,169.48
Food Waste,7807,Trichy,616.37,40064.05,3117.24
Agricultural Residue,9007,Chennai,569.78,37035.7,3796.88
Fruit Waste,8467,Salem,428.38,27844.7,2913.88
Agricultural Residue,2682,Madurai,162.17,10541.05,845.51
Fruit Waste,3623,Madurai,227.32,14775.8,1576.73
Vegetable Waste,3069,Coimbatore,216.61,14079.65,1216.63
Cow Dung,6956,Chennai,447.96,29117.4,2938.63
Cow Dung,4309,Coimbatore,308.2,20033.0,1092.43
Agricultural Residue,3649,Chennai,253.76,16494.4,1240.87
Vegetable Waste,6565,Madurai,362.88,23587.2,2151.83
Vegetable Waste,2580,Madurai,116.9,7598.5,878.11
Fruit Waste,8955,Coimbatore,519.19,33747.35,3916.94
Fruit Waste,3600,Salem,191.97,12478.05,1289.53
Cow Dung,4916,Chennai,360.57,23437.05,1601.62
Cow Dung,9766,Trichy,636.94,41401.1,4228.51
Agricultural Residue,4213,Chennai,258.45,16799.25,1344.44
Agricultural Residue,8653,Salem,448.34,29142.1,3687.02
Fruit Waste,6902,Chennai,330.04,21452.6,2596.37
Agricultural Residue,7814,Trichy,379.55,24670.75,3025.08
Poultry Waste,6247,Chennai,492.31,32000.15,2609.42
Cow Dung,8877,Trichy,487.12,31662.8,2912.93
Food Waste,7434,Trichy,319.85,20790.25,2456.8
Poultry Waste,7328,Chennai,435.13,28283.45,2191.33
Food Waste,2718,Trichy,127.25,8271.25,694.58
Food Waste,3438,Trichy,274.59,17848.35,937.86
Agricultural Residue,9983,Chennai,418.52,27203.8,3326.59
Fruit Waste,8221,Madurai,580.58,37737.7,3051.85
Cow Dung,3331,Coimbatore,201.12,13072.8,1237.07
Vegetable Waste,379,Coimbatore,22.1,1436.5,102.3
Fruit Waste,5946,Madurai,400.97,26063.05,2412.72
Vegetable Waste,1010,Trichy,68.79,4471.35,420.41
Poultry Waste,5411,Chennai,241.07,15669.55,1961.11
Vegetable Waste,1227,Salem,59.91,3894.15,478.51
Fruit Waste,9634,Trichy,600.81,39052.65,3281.86
Vegetable Waste,5517,Coimbatore,287.31,18675.15,1473.49
Agricultural Residue,2128,Madurai,102.57,6667.05,634.01
Fruit Waste,3811,Trichy,300.3,19519.5,1388.12
Poultry Waste,4104,Chennai,201.29,13083.85,1063.28
Agricultural Residue,8403,Madurai,342.54,22265.1,3449.39
Cow Dung,7099,Chennai,545.13,35433.45,2932.35
Agricultural Residue,2999,Coimbatore,163.19,10607.35,885.0
Fruit Waste,3192,Trichy,159.55,10370.75,933.08
Fruit Waste,9804,Chennai,404.25,26276.25,3808.64
Fruit Waste,8795,Trichy,468.6,30459.0,3513.97
Poultry Waste,4111,Trichy,215.94,14036.1,1109.84
Vegetable Waste,9906,Chennai,478.41,31096.65,4364.13
Fruit Waste,1753,Madurai,72.91,4739.15,577.61
Agricultural Residue,5278,Chennai,259.49,16866.85,2088.1
Vegetable Waste,6715,Coimbatore,506.46,32919.9,1772.87
Vegetable Waste,9506,Trichy,512.7,33325.5,4073.67
Poultry Waste,7974,Coimbatore,418.22,27184.3,2692.17
Agricultural Residue,6239,Coimbatore,280.18,18211.7,2146.02
Food Waste,7886,Salem,466.5,30322.5,3467.54
Poultry Waste,3190,Chennai,205.83,13378.95,1102.94
Food Waste,3321,Trichy,259.65,16877.25,955.25
Agricultural Residue,4522,Madurai,288.17,18731.05,1964.87
Poultry Waste,7492,Trichy,510.69,33194.85,3300.52
Fruit Waste,9768,Trichy,711.56,46251.4,3333.07
Fruit Waste,9846,Coimbatore,602.63,39170.95,2620.6
Poultry Waste,5893,Madurai,272.24,17695.6,1634.1
Agricultural Residue,2489,Trichy,118.38,7694.7,953.65
Poultry Waste,8896,Coimbatore,518.63,33710.95,2642.89
Vegetable Waste,8295,Coimbatore,446.13,28998.45,2789.22
Cow Dung,2649,Trichy,204.39,13285.35,827.71
Cow Dung,130,Madurai,8.6,559.0,44.03
Fruit Waste,521,Trichy,36.47,2370.55,138.4
Fruit Waste,241,Chennai,14.08,915.2,62.79
Poultry Waste,3365,Chennai,267.58,17392.7,865.14
Vegetable Waste,6075,Trichy,268.42,17447.3,2593.33
Vegetable Waste,6222,Trichy,303.3,19714.5,2515.64
Agricultural Residue,7843,Chennai,376.21,24453.65,3218.27
Poultry Waste,723,Coimbatore,32.92,2139.8,201.21
Vegetable Waste,9335,Trichy,561.03,36466.95,2392.35
Vegetable Waste,3172,Madurai,247.03,16056.95,981.96
Cow Dung,6787,Madurai,275.64,17916.6,2260.47
Agricultural Residue,7957,Coimbatore,538.39,34995.35,2148.81
Agricultural Residue,8364,Coimbatore,659.25,42851.25,2427.08
Vegetable Waste,9744,Madurai,555.42,36102.3,3973.05
Food Waste,4750,Trichy,358.66,23312.9,1985.8
Agricultural Residue,4046,Salem,243.51,15828.15,1630.69
Poultry Waste,5501,Chennai,413.99,26909.35,1880.66
Agricultural Residue,9150,Trichy,730.57,47487.05,2793.88
Agricultural Residue,8814,Chennai,576.08,37445.2,2611.7
Poultry Waste,9585,Coimbatore,560.83,36453.95,3840.09
Vegetable Waste,2040,Chennai,96.14,6249.1,761.14
Fruit Waste,1945,Madurai,132.86,8635.9,782.42
Agricultural Residue,941,Trichy,45.52,2958.8,333.85
Poultry Waste,3280,Coimbatore,174.91,11369.15,1162.43
Food Waste,9164,Madurai,726.48,47221.2,3681.74
Cow Dung,2068,Coimbatore,137.74,8953.1,928.15
Poultry Waste,6416,Chennai,350.43,22777.95,2254.93
Poultry Waste,7651,Madurai,418.26,27186.9,2507.27
Fruit Waste,5440,Trichy,385.05,25028.25,1852.61
Food Waste,1646,Coimbatore,119.79,7786.35,632.09
Food Waste,6732,Chennai,419.68,27279.2,2829.84
Fruit Waste,9532,Coimbatore,429.83,27938.95,3008.11
Poultry Waste,978,Madurai,60.77,3950.05,346.53
Poultry Waste,4581,Coimbatore,243.06,15798.9,1686.29
Poultry Waste,3392,Madurai,175.57,11412.05,941.95
Vegetable Waste,4085,Salem,172.84,11234.6,1380.07
Cow Dung,9533,Chennai,689.06,44788.9,2982.55
Vegetable Waste,9146,Coimbatore,572.07,37184.55,2879.31
Agricultural Residue,2755,Madurai,165.55,10760.75,1235.32
Food Waste,4888,Salem,276.27,17957.55,1598.3
Agricultural Residue,6774,Trichy,529.44,34413.6,2781.02
Poultry Waste,6312,Chennai,484.9,31518.5,2737.71
Fruit Waste,368,Coimbatore,24.88,1617.2,108.18
Fruit Waste,9200,Trichy,605.36,39348.4,3582.38
Agricultural Residue,5273,Madurai,356.58,23177.7,1782.17
Food Waste,9469,Trichy,508.71,33066.15,4144.15
Cow Dung,5578,Coimbatore,328.63,21360.95,2183.71
Food Waste,434,Coimbatore,19.66,1277.9,160.18
Vegetable Waste,6184,Trichy,423.12,27502.8,2235.35
Poultry Waste,2911,Madurai,119.05,7738.25,1107.92
Fruit Waste,4495,Chennai,183.19,11907.35,1506.33
Vegetable Waste,8964,Salem,521.63,33905.95,3468.62
Cow Dung,7535,Coimbatore,476.0,30940.0,2254.05
Cow Dung,4763,Salem,360.62,23440.3,2079.8
Vegetable Waste,1459,Chennai,109.79,7136.35,447.68
Vegetable Waste,2913,Salem,129.84,8439.6,874.55
Cow Dung,3617,Salem,145.6,9464.0,1079.42
Food Waste,5505,Chennai,388.04,25222.6,1839.18
Agricultural Residue,2224,Chennai,140.83,9153.95,691.46
Poultry Waste,8825,Trichy,469.93,30545.45,2832.35
Agricultural Residue,673,Madurai,46.4,3016.0,262.36
Fruit Waste,6622,Salem,346.85,22545.25,2681.87
Poultry Waste,5482,Salem,235.87,15331.55,1708.58
Agricultural Residue,7141,Chennai,390.12,25357.8,3113.76
Cow Dung,9464,Coimbatore,593.4,38571.0,3236.72
Cow Dung,3387,Madurai,238.57,15507.05,1085.08
Food Waste,1320,Trichy,89.66,5827.9,579.02
Cow Dung,293,Salem,16.01,1040.65,102.72
Cow Dung,3657,Coimbatore,213.32,13865.8,1229.32
Cow Dung,6616,Chennai,490.95,31911.75,2184.72
Vegetable Waste,9823,Madurai,742.01,48230.65,3988.7
Vegetable Waste,612,Chennai,26.07,1694.55,175.88
Poultry Waste,8597,Madurai,368.05,23923.25,2323.19
Vegetable Waste,8641,Chennai,642.79,41781.35,3847.44
Cow Dung,1640,Trichy,81.83,5318.95,723.74
Cow Dung,9507,Coimbatore,465.65,30267.25,4167.84
Cow Dung,5043,Trichy,226.88,14747.2,1707.76
Agricultural Residue,1795,Trichy,92.98,6043.7,523.09
Poultry Waste,6201,Coimbatore,304.01,19760.65,2437.56
Food Waste,7524,Chennai,555.84,36129.6,2788.82
Cow Dung,368,Salem,18.23,1184.95,108.7
Vegetable Waste,3930,Chennai,188.91,12279.15,1741.85
Agricultural Residue,3842,Madurai,174.53,11344.45,1062.76
Vegetable Waste,6699,Chennai,283.33,18416.45,1695.06
Fruit Waste,9862,Coimbatore,647.73,42102.45,3712.95
Fruit Waste,1552,Salem,91.96,5977.4,500.57
Poultry Waste,886,Madurai,38.23,2484.95,275.88
Poultry Waste,5279,Trichy,256.74,16688.1,1381.54
Agricultural Residue,2650,Coimbatore,164.81,10712.65,954.27
Poultry Waste,1048,Coimbatore,58.04,3772.6,392.64
Fruit Waste,1397,Chennai,106.28,6908.2,475.82
Cow Dung,8233,Coimbatore,332.47,21610.55,2273.9
Agricultural Residue,8267,Trichy,520.1,33806.5,2730.3
Fruit Waste,6033,Chennai,414.42,26937.3,2637.33
Vegetable Waste,1287,Madurai,73.37,4769.05,565.23
Agricultural Residue,9645,Chennai,615.25,39991.25,2481.75
Cow Dung,6083,Chennai,449.9,29243.5,2278.98
Vegetable Waste,1573,Trichy,73.79,4796.35,521.42
Agricultural Residue,3662,Madurai,280.84,18254.6,1571.07
Agricultural Residue,5079,Madurai,265.94,17286.1,1377.96
Fruit Waste,8637,Coimbatore,572.66,37222.9,3389.11
Poultry Waste,271,Chennai,11.62,755.3,82.12
Vegetable Waste,9057,Trichy,714.2,46423.0,3034.3
Food Waste,8952,Salem,490.11,31857.15,3057.36
Agricultural Residue,9872,Salem,448.93,29180.45,4012.77
Agricultural Residue,6980,Chennai,499.89,32492.85,2039.71
Food Waste,8888,Coimbatore,596.39,38765.35,2760.48
Poultry Waste,3158,Madurai,129.65,8427.25,1043.03
Poultry Waste,8196,Chennai,411.84,26769.6,3141.04
Food Waste,5372,Trichy,288.08,18725.2,2062.13
Poultry Waste,1382,Coimbatore,88.88,5777.2,367.21
Cow Dung,5980,Madurai,297.45,19334.25,1673.16
Food Waste,2265,Madurai,173.24,11260.6,909.08
Poultry Waste,611,Madurai,27.62,1795.3,182.69
Food Waste,6132,Madurai,469.67,30528.55,2361.43
Vegetable Waste,4660,Trichy,315.85,20530.25,1840.92
Poultry Waste,6503,Madurai,432.04,28082.6,2472.42
Agricultural Residue,2453,Salem,172.5,11212.5,747.5
Food Waste,3266,Chennai,200.09,13005.85,1234.28
Poultry Waste,4578,Chennai,188.27,12237.55,1160.49
Food Waste,1046,Madurai,60.33,3921.45,386.67
Vegetable Waste,5680,Salem,445.84,28979.6,2038.41
Fruit Waste,4820,Salem,215.55,14010.75,1430.65
Cow Dung,5552,Trichy,243.43,15822.95,2350.28
Vegetable Waste,7609,Chennai,339.26,22051.9,2496.78
Agricultural Residue,4871,Salem,214.59,13948.35,2166.05
Cow Dung,1473,Chennai,63.23,4109.95,477.83
Vegetable Waste,627,Madurai,32.99,2144.35,242.3
Agricultural Residue,8750,Salem,582.1,37836.5,2408.07
Food Waste,3008,Trichy,229.2,14898.0,752.3
Poultry Waste,6761,Madurai,282.91,18389.15,1924.42
Poultry Waste,9692,Chennai,564.57,36697.05,2980.92
Agricultural Residue,364,Coimbatore,29.03,1886.95,119.71
Cow Dung,9600,Madurai,412.93,26840.45,4305.87
Cow Dung,8214,Coimbatore,459.84,29889.6,2719.32
Agricultural Residue,4189,Trichy,262.18,17041.7,1566.32
Agricultural Residue,2991,Trichy,201.44,13093.6,1248.46
Vegetable Waste,2628,Chennai,119.44,7763.6,782.9
Fruit Waste,9756,Coimbatore,710.23,46164.95,2630.85
Food Waste,262,Chennai,15.63,1015.95,70.61
Poultry Waste,3585,Chennai,223.28,14513.2,1102.21
Poultry Waste,8059,Chennai,613.82,39898.3,3092.36
Poultry Waste,2172,Trichy,110.67,7193.55,838.05
Food Waste,1583,Chennai,92.33,6001.45,515.31
Fruit Waste,4944,Coimbatore,310.63,20190.95,1285.48
Poultry Waste,3215,Madurai,169.04,10987.6,1028.46
Food Waste,980,Chennai,78.32,5090.8,375.99
Agricultural Residue,5837,Salem,244.75,15908.75,2298.62
Poultry Waste,8044,Salem,512.44,33308.6,2389.29
Cow Dung,5531,Salem,361.23,23479.95,2099.09
Fruit Waste,3037,Madurai,213.01,13845.65,1334.15
Cow Dung,6250,Salem,399.2,25948.0,2617.94
Food Waste,9085,Madurai,639.08,41540.2,2510.74
Fruit Waste,2479,Chennai,151.29,9833.85,877.13
Agricultural Residue,5396,Salem,387.67,25198.55,2319.13
Food Waste,2518,Coimbatore,185.58,12062.7,924.96
Fruit Waste,4951,Trichy,303.46,19724.9,1499.12
Agricultural Residue,4416,Salem,279.79,18186.35,1862.84
Agricultural Residue,3806,Coimbatore,257.37,16729.05,1675.01
Vegetable Waste,9002,Trichy,526.53,34224.45,2781.21
Food Waste,3249,Trichy,225.98,14688.7,997.97
Food Waste,3849,Madurai,253.74,16493.1,1523.99
Fruit Waste,4646,Chennai,289.8,18837.0,1898.92
Cow Dung,6269,Trichy,330.66,21492.9,2550.72
Agricultural Residue,6839,Trichy,358.52,23303.8,1848.3
Agricultural Residue,3462,Trichy,240.76,15649.4,1233.53
Vegetable Waste,1653,Salem,119.49,7766.85,730.96
Food Waste,5995,Coimbatore,307.36,19978.4,2025.8
Poultry Waste,9004,Salem,410.16,26660.4,3630.65
Poultry Waste,2162,Salem,169.59,11023.35,798.17
Poultry Waste,1895,Chennai,134.95,8771.75,540.57
Poultry Waste,3944,Coimbatore,240.02,15601.3,1525.24
Poultry Waste,7747,Madurai,528.34,34342.1,2642.3
Cow Dung,3456,Madurai,226.47,14720.55,1156.35
Poultry Waste,3292,Coimbatore,157.34,10227.1,1382.64
Poultry Waste,9737,Trichy,599.99,38999.35,2745.73
Agricultural Residue,1556,Salem,83.45,5424.25,542.5
Fruit Waste,9269,Chennai,655.75,42623.75,4161.08
Cow Dung,6193,Coimbatore,271.72,17661.8,2376.91
Vegetable Waste,6033,Chennai,289.73,18832.45,2622.52
Fruit Waste,9069,Madurai,437.72,28451.8,2701.67
Food Waste,9026,Salem,366.21,23803.65,2964.66
Cow Dung,4533,Madurai,338.72,22016.8,1259.98
Poultry Waste,9563,Madurai,605.46,39354.9,3434.5
Vegetable Waste,9104,Chennai,584.34,37982.1,2371.85
Cow Dung,2480,Coimbatore,118.25,7686.25,1058.49
Food Waste,5623,Chennai,352.62,22920.3,1963.5
Food Waste,1581,Chennai,83.82,5448.3,688.82
Agricultural Residue,7615,Chennai,353.5,22977.5,3334.56
Vegetable Waste,9848,Madurai,579.8,37687.0,3031.33
Poultry Waste,6321,Madurai,268.91,17479.15,2768.16
Fruit Waste,9752,Trichy,540.47,35130.55,4035.99
Agricultural Residue,1820,Salem,86.93,5650.45,814.46
Cow Dung,437,Coimbatore,30.56,1986.4,111.71
Vegetable Waste,2655,Salem,152.2,9893.0,823.33
Cow Dung,9353,Chennai,590.48,38381.2,2401.21
Cow Dung,5306,Chennai,297.53,19339.45,1806.83
Poultry Waste,9616,Madurai,664.61,43199.65,2702.65
Poultry Waste,4003,Trichy,191.31,12435.15,1188.57
Fruit Waste,5607,Madurai,229.46,14914.9,1907.38
Fruit Waste,1872,Trichy,94.38,6134.7,731.52
Cow Dung,6826,Salem,362.79,23581.35,2286.01
Poultry Waste,6813,Madurai,469.96,30547.4,1969.11
Food Waste,8919,Trichy,398.97,25933.05,2888.41
Vegetable Waste,308,Coimbatore,18.54,1205.1,88.99
Vegetable Waste,8448,Coimbatore,499.72,32481.8,3703.31
Agricultural Residue,5290,Coimbatore,362.32,23550.8,1964.65
Vegetable Waste,523,Salem,29.64,1926.6,162.57
